pH2O (kPa),Adsorption (mmol/g),Temp (K)
0.58611,1.20168,323.15
2.34443,2.50287,323.15
3.3864,3.12833,323.15
5.01447,4.05397,323.15
7.48915,6.00585,323.15
9.37771,8.68426,323.15
10.87554,11.88877,323.15
11.13603,12.8903,323.15
0.847,1.151,338.15
4.103,2.151,338.15
6.903,2.851,338.15
9.182,3.3,338.15
13.155,4.525,338.15
16.411,6.026,338.15
17.779,6.776,338.15
20.253,8.678,338.15
21.035,9.554,338.15
22.272,11.407,338.15
0.456,0.651,353.15
3.386,1.3,353.15
8.661,1.673,353.15
13.546,2.271,353.15
20.644,3.119,353.15
26.245,3.942,353.15
30.868,5.016,353.15
33.734,5.766,353.15
37.511,7.116,353.15
40.507,8.717,353.15